state_name,state,year,Population,Employment,Unemployment ,Unemployment rate,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Gross State Product,Number of low income uninsured children,Percent Low Income Unisured Children,Personal income,Workers' compensation,AFDC/TANF Recipients,AFDC/TANF Caseloads,Food Stamp/SNAP Recipients,Food Stamp/SNAP Caseloads,AFDC/TANF Benefit for 2-Person family,AFDC/TANF Benefit for 3-person family,AFDC/TANF benefit for 4-person family,FS/SNAP Benefit for 1-person family,FS/SNAP Benefit for 2-person family,FS/SNAP Benefit for 3-person family,FS/SNAP Benefit for 4-person family,AFDC/TANF_FS 2-Person Benefit,AFDC/TANF_FS 3-Person Benefit,AFDC/TANF_FS 4-Person Benefit,Child-only AFDC/TANF cases,SSI-Federal,SSI-State,Total SSI,SSI_FS Benefit,Number of Poor (thousands),Poverty Rate,Governor is Democrat (1=Yes),Number in Lower House Democrat,Number in Lower House Republican,Fraction of State House that is Democrat,Number in Upper House Democrat,Number in Upper House Republican,Fraction of State Senate that is Democrat,EITC Phase-In Rate No Dependents,EITC Phase-In Rate 1 Dependent,EITC Phase-In Rate 2 Dependents,EITC Maximum Credit No Dependents,EITC Maximum Credit 1 Dependent,EITC Maximum Credit 2 Dependents,EITC Phase-Out Rate No Dependents,EITC Phase-Out Rate 1 Dependent,EITC Phase-Out Rate 2 Dependents,State EITC Rate,Wisconsin EITC Rate 2 Dependents,Wisconsin EITC Rate 3 Dependents,Refundable State EITC (1=Yes),Federal Minimum Wage,State Minimum Wage,SSI recipients,SSI recipients--Aged,SSI recipients--Blind,SSI recipients--Disabled,Medicaid beneficiaries,WIC participation,NSLP Free Participation,NSLP Reduced Participation,NSLP Total Participation,SBP Free Participation,SBP Reduced Participation,SBP Total Participation
ID,13,2005,1428241,695428,26762,3.70,20.44434,12.53430,2.64740,47899,26.0,6.3,42808208,134656,3310,1860,93441,37151,309,309,309,149,274,393,499,583,702,808,1334,579,52,631,747,143,9.9,0,13,57,0.19,7,28,0.20,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,22200,1780,206,20214,175428,37850,63600,20582,155700,31952,5917,49570
IL,14,2005,12609903,6033421,370877,5.80,15.84561,8.51339,2.55432,587637,217.0,6.4,475418860,92543,96336,38391,1158271,520350,292,393,435,149,274,393,499,566,786,934,19409,579,0,579,711,1441,11.5,1,65,53,0.55,31,27,0.53,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.050,,,1,5.15,6.50,258553,30414,2389,225750,2017325,275094,613806,83984,1104595,187174,13113,229463
IN,15,2005,6278616,3032108,172052,5.40,15.84865,11.06704,3.63070,246995,80.0,4.8,197656091,34628,124777,44042,556285,240045,229,288,346,149,274,393,499,503,681,845,18193,579,0,579,711,774,12.6,0,48,52,0.48,17,33,0.34,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.060,,,1,5.15,5.15,98555,5884,949,91722,814469,134706,249264,62465,700890,108824,14269,153456
IA,16,2005,2964454,1557545,69972,4.30,21.17802,13.87485,4.33124,123903,25.0,3.4,97826790,14116,42884,17707,206696,89655,361,426,495,149,274,393,499,635,819,994,5284,579,0,579,711,327,11.3,1,49,51,0.49,25,25,0.50,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.065,,,0,5.15,5.15,43388,3612,780,38996,307998,67823,104396,33200,385011,42748,7478,75515
KS,17,2005,2745299,1390292,74806,5.10,22.06895,11.75756,3.51907,105773,33.0,4.6,91745336,18357,46026,17622,177782,78165,352,429,497,149,274,393,499,626,822,996,4720,579,0,579,711,337,12.5,1,42,83,0.34,10,30,0.25,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.150,,,1,5.15,2.65,39154,3311,355,35488,267177,68218,116711,35762,326805,53003,9980,81085
KY,18,2005,4182742,1875512,120765,6.00,25.01354,15.36591,5.61358,144170,60.0,5.8,122107619,127837,75005,34701,570277,245707,225,262,328,149,274,393,499,499,655,827,16814,579,0,579,711,599,14.8,0,57,43,0.57,15,22,0.41,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,180225,14162,1429,164634,688212,121644,249797,49715,534807,146525,19567,213618
LA,19,2005,4576628,1935850,139473,6.70,26.33760,15.09760,5.85793,200327,85.0,7.4,134419282,45844,37458,16103,807896,318126,188,240,284,149,274,393,499,462,633,783,10229,579,0,579,711,748,18.3,1,67,37,0.64,24,15,0.62,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,155803,17588,1650,136565,1003951,143362,361166,49165,615879,191979,16427,242466
ME,20,2005,1318787,658507,33820,4.90,27.05738,17.20589,6.17703,46187,11.0,3.6,42537469,18398,25509,9543,152910,78170,363,485,611,149,274,393,499,637,878,1083,2492,579,10,589,718,166,12.6,1,76,73,0.51,19,16,0.54,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.050,,,0,5.15,6.50,31978,2449,231,29298,269654,23454,40162,10373,107685,18114,3056,30420
MD,21,2005,5592379,2825040,121723,4.10,19.48059,11.77713,5.12513,264945,75.0,5.2,245063048,407713,54851,23134,288943,131556,380,482,583,149,274,393,499,654,875,1064,8732,579,0,579,711,542,9.7,0,98,43,0.70,33,14,0.70,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.200,,,1,5.15,5.15,94418,15251,677,78490,711307,108540,177967,46931,438302,77507,14358,123971
MA,22,2005,6403290,3219717,163579,4.80,13.48230,8.15055,2.21634,346130,44.0,2.8,285878583,105073,103906,48824,368122,176121,518,618,713,149,274,393,499,792,982,1155,17884,579,128,707,801,641,10.1,0,136,21,0.87,34,6,0.85,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.150,,,1,5.15,6.75,171488,44653,3867,122968,1014586,114161,196575,35584,558107,93108,8129,121875
MI,23,2005,10051137,4717188,346018,6.80,20.25227,13.02613,4.31917,396102,87.0,3.3,331214683,71520,214547,80590,1047594,469976,371,459,563,149,274,393,499,645,852,1050,26904,579,14,593,721,1196,12.0,1,52,58,0.47,16,22,0.42,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,222073,16878,1748,203447,1482322,226601,390517,76584,869217,171972,17482,230158
MN,24,2005,5119598,2756709,120245,4.20,16.85281,8.46815,3.13013,244668,51.0,3.9,193224628,108541,72812,28996,259937,124398,437,532,621,149,274,393,499,711,922,1090,9398,579,61,640,754,412,8.1,0,66,68,0.49,35,31,0.53,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.330,,,1,5.15,6.15,72915,10023,712,62180,584860,123275,162115,51245,590260,66695,14931,117119
MS,25,2005,2905943,1219135,102600,7.80,31.55099,17.76474,4.20271,82379,88.0,10.8,77934486,31585,34695,16060,434958,174500,146,170,194,149,274,393,499,420,563,693,7630,579,0,579,711,571,20.1,0,75,47,0.61,28,24,0.54,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,124561,15161,1018,108382,671918,101694,263127,35369,398951,149144,12907,181624
MO,26,2005,5790300,2849708,161747,5.40,20.64491,13.23764,4.23658,226067,79.0,5.4,189352857,94018,96611,40061,766425,298380,234,292,342,149,274,393,499,508,685,841,11580,579,0,579,711,659,11.6,0,66,97,0.40,10,22,0.31,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,117613,9537,955,107121,1018319,132227,267048,55201,624385,134211,18092,196507
MT,27,2005,940102,463251,17496,3.60,14.45133,9.28149,3.32169,30621,21.0,9.5,27724844,120270,12224,4614,80870,34573,328,405,482,149,274,393,499,602,798,981,1526,579,0,579,711,128,13.8,1,49,50,0.49,27,23,0.54,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,14784,1105,135,13544,86252,21102,30700,8654,79664,13480,2162,20526
NE,28,2005,1761497,935447,37725,3.90,17.07881,10.65195,3.30092,74265,22.0,4.8,61089348,9491,25136,10017,117415,49948,293,364,435,149,274,393,499,567,757,934,3574,579,9,588,717,167,9.5,0,,,,,,,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.080,,,1,5.15,5.15,22334,2026,241,20067,203093,40818,72017,22749,228691,27862,4794,46114
NV,29,2005,2432143,1173425,54914,4.50,17.04187,10.43088,4.87253,116258,63.0,9.5,93889217,36630,15601,6788,121707,54877,289,348,407,149,274,393,499,563,741,906,3816,579,36,615,736,260,10.6,0,26,16,0.62,9,12,0.43,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,32977,8527,693,23757,175513,48803,90916,19462,172292,37267,5160,52867
NH,30,2005,1298492,696765,26346,3.60,14.20967,6.52577,1.79180,55924,8.0,2.6,51007522,15467,14114,6144,52310,25198,556,625,688,149,274,393,499,820,987,1137,1948,579,27,606,730,73,5.6,1,147,250,0.37,8,16,0.33,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,13636,869,140,12627,108445,16677,22920,7860,113074,8616,1438,18987
NJ,31,2005,8651974,4207738,196713,4.50,15.68208,9.34564,1.87400,445238,119.0,5.3,387477347,327082,105135,43071,392416,186661,322,424,488,149,274,393,499,596,817,987,14798,579,31,610,733,592,6.8,1,47,33,0.59,22,18,0.55,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.200,,,1,5.15,6.15,152352,33551,994,117807,828922,146888,263394,59917,629815,102882,13186,141717
NM,32,2005,1932274,866349,47104,5.20,30.86202,19.98244,5.69774,74207,61.0,11.6,56218801,37141,45314,17566,240637,93094,310,389,468,149,274,393,499,584,782,967,5721,579,0,579,711,347,17.9,1,42,28,0.60,24,18,0.57,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,53773,8589,491,44693,412709,64216,136539,23252,211792,75203,10248,102755
NY,33,2005,19132610,8947069,474316,5.00,18.16475,10.55619,2.61473,1025987,228.0,4.8,794061895,1911080,323134,141512,1754861,915703,501,691,825,149,274,393,499,775,1033,1233,62947,579,87,666,772,2760,14.5,0,104,46,0.69,28,34,0.45,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.300,,,1,5.15,6.00,635079,134506,3015,497558,4185741,482807,984233,167384,1823454,380400,43784,514762
NC,34,2005,8705407,4123857,229030,5.30,22.94621,12.23349,3.03859,357241,177.0,7.7,281199046,93927,67644,33773,799747,343397,236,272,297,149,274,393,499,510,665,796,20134,579,0,579,711,1115,13.1,1,63,57,0.53,29,21,0.58,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,199270,25384,1801,172085,1233106,225252,456849,88420,915560,243885,31225,343329
ND,35,2005,646089,343625,12249,3.40,12.74194,6.50052,1.42339,25018,10.0,6.5,20400591,152360,7334,2856,42204,18927,378,477,573,149,274,393,499,652,870,1057,706,579,0,579,711,70,11.2,0,27,67,0.29,15,32,0.32,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,7917,971,76,6870,53919,14248,20304,6878,78418,8706,1594,16419
OH,36,2005,11463320,5537419,344244,5.90,22.41239,14.45348,4.16977,466610,131.0,4.5,375381483,1972863,179422,82597,1007172,448524,305,373,461,149,274,393,499,579,766,960,43241,579,0,579,711,1392,12.3,0,40,59,0.40,11,22,0.33,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,4.25,250283,15242,1930,233111,1716021,272632,430495,85321,1060938,180286,17060,242114
OK,37,2005,3548597,1628655,76851,4.50,25.81443,15.04726,4.12332,126206,77.0,8.4,110603715,337143,27876,12073,424402,172837,225,292,361,149,274,393,499,499,685,860,6401,579,48,627,745,543,15.6,1,44,57,0.44,26,22,0.54,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.050,,,1,5.15,5.15,79564,8066,791,70707,557786,119779,216105,45146,402917,124522,18433,176011
OR,38,2005,3613202,1740990,115072,6.20,22.76329,14.62743,2.52566,147752,69.0,7.6,117579338,649646,44432,19488,429358,218297,395,460,565,149,274,393,499,669,853,1051,8781,579,2,581,712,436,12.0,1,27,33,0.45,18,12,0.60,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.050,,,1,5.15,7.25,60557,7772,670,52115,405017,102793,148921,31807,291326,88584,12462,128404
PA,39,2005,12449990,5958238,312201,5.00,18.68738,10.30591,2.95274,507485,155.0,5.3,447274222,339611,253352,96635,1042809,471960,330,421,514,149,274,393,499,604,814,1013,28061,579,27,606,730,1372,11.2,1,93,110,0.46,18,29,0.38,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,317462,29562,2198,285702,1693509,240754,420335,92895,1121383,164653,19488,237499
RI,40,2005,1067916,532961,28478,5.10,20.41235,12.04347,4.03860,45079,9.0,3.2,38992878,13335,27017,10715,76085,34751,449,554,634,149,274,393,499,723,937,1099,2871,579,57,636,751,127,12.1,0,60,15,0.80,33,5,0.87,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.250,,,0,5.15,6.75,30194,3934,197,26063,185935,22914,41279,7350,84080,19113,2019,25633
SC,41,2005,4270150,1922367,139983,6.80,28.48063,16.46939,6.77010,143937,61.0,5.7,125347404,271061,36069,15854,521125,219503,163,205,248,149,274,393,499,437,598,747,7796,579,0,579,711,626,15.0,0,50,74,0.40,20,26,0.43,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,105341,12303,1386,91652,855887,108341,270125,42174,482820,154293,16083,202615
SD,42,2005,775493,413819,15715,3.70,19.82272,10.39722,3.17868,31621,10.0,4.9,25934437,17333,6059,2771,56095,22483,448,501,553,149,274,393,499,722,894,1043,1777,579,15,594,721,90,11.8,0,19,51,0.27,10,25,0.29,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,12573,1673,95,10805,100196,21580,33708,10093,103986,14924,2003,21992
TN,43,2005,5991057,2778489,163808,5.60,23.51040,15.73477,5.31680,228786,80.0,5.4,190027141,86615,186025,70572,849703,374011,142,185,226,149,274,393,499,416,578,725,18156,579,0,579,711,872,14.9,1,53,46,0.54,16,17,0.48,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,161099,16915,1550,142634,1386983,155330,329574,56947,660282,168585,20249,232310
TX,44,2005,22778123,10551547,599137,5.40,27.32367,16.59323,5.15832,998092,943.0,14.0,756530656,533645,201365,86739,2451197,941050,193,223,268,149,274,393,499,467,616,767,50913,579,0,579,711,3681,16.2,0,63,87,0.42,12,19,0.39,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,501762,109823,6531,385408,2976438,892195,1750729,290358,2892593,981702,112414,1290127
UT,45,2005,2457719,1230451,53175,4.10,27.83990,15.62335,5.29457,94983,61.0,7.4,72344208,234066,22758,9030,133263,53162,380,474,555,149,274,393,499,654,867,1044,3008,579,0,579,711,232,9.2,0,19,56,0.25,8,21,0.28,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,22587,2245,258,20084,210038,68147,97452,36380,297669,35576,6313,52473
VT,46,2005,621215,336583,12235,3.50,16.13320,9.86215,3.18445,23524,3.0,2.0,21450256,5676,11412,4570,45218,22355,604,709,795,149,274,393,499,853,1046,1212,1026,579,52,631,747,47,7.6,0,83,60,0.58,21,9,0.70,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.320,,,1,5.15,7.00,13138,1136,89,11913,126600,16306,17593,5283,55363,10248,1978,18666
VA,47,2005,7577105,3783813,137986,3.50,15.70891,8.61992,2.62339,357708,102.0,5.3,301754760,123974,28241,9916,488481,214983,323,389,451,149,274,393,499,597,782,950,0,579,0,579,711,684,9.2,1,38,60,0.39,16,24,0.40,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,137340,20830,1293,115217,713814,138221,261761,65071,730970,125532,19176,195752
WA,48,2005,6257305,3075972,179555,5.50,18.74937,11.16541,3.42098,296019,58.0,3.6,235591415,1559528,136882,56823,508472,250788,440,546,642,149,274,393,499,714,932,1105,21435,579,26,605,729,636,10.2,1,55,43,0.56,26,23,0.53,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,7.35,115563,14697,960,99906,935955,160703,230050,61767,513488,102994,16843,144909
WV,49,2005,1820492,763696,39038,4.90,18.51464,10.16253,2.61336,53294,20.0,4.8,48040744,132917,27218,12003,262442,114038,301,340,384,149,274,393,499,575,733,883,5308,579,0,579,711,276,15.4,1,68,32,0.68,21,13,0.62,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,76728,4258,576,71894,305593,49961,94110,21893,202574,54777,9925,89609
WI,50,2005,5546166,2890117,145691,4.80,18.52202,11.42019,3.18622,227407,48.0,3.5,190601981,33485,46609,20199,345748,143459,673,673,673,149,274,393,499,902,1021,1127,11488,579,84,663,770,553,10.2,1,39,60,0.39,14,19,0.42,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.040,0.140,0.430,1,5.15,5.70,92225,8375,936,82914,822220,112942,175551,50362,583338,51887,8383,81943
WY,51,2005,514157,267927,10256,3.70,25.67267,12.82544,4.25955,27783,5.0,4.2,20158491,120313,548,310,25481,10422,320,340,340,149,274,393,499,594,733,839,247,579,10,589,718,54,10.6,1,14,46,0.23,7,23,0.23,0.0765,0.3400,0.4000,399,2662,4400,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,5797,441,44,5312,60919,12699,16437,6483,51187,7013,1602,11885
AL,1,2006,4628981,2098462,75355,3.50,20.72831,11.84167,2.53534,164820,51.1,4.4,146303967,79553,44693,19162,546684,220345,190,215,245,152,278,399,506,468,614,751,9069,603,0,603,734,650,14.3,0,62,43,0.59,23,12,0.66,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,164764,16659,929,147176,773709,121760,297069,53924,574060,141681,16234,189115
AK,2,2006,675302,326109,22731,6.50,22.65892,10.37686,3.59090,44835,8.4,4.4,26481591,18157,9824,3614,57153,21172,821,923,1025,181,333,425,517,1154,1332,1495,1025,603,362,965,1117,58,8.9,0,17,23,0.43,9,11,0.45,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,7.15,11340,2114,102,9124,100682,25229,28108,6438,53363,10004,1526,14254
AZ,3,2006,6029141,2836638,121196,4.10,23.81918,16.00563,5.43029,247833,202.7,11.7,209917712,439551,87191,39369,540782,220293,275,347,418,152,278,399,506,553,746,924,18726,603,0,603,734,902,14.4,1,27,33,0.45,13,17,0.43,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,99196,13415,877,84904,1062709,177168,337523,63287,607905,140762,19333,196502
AR,4,2006,2821761,1286887,71629,5.30,26.16250,12.96369,3.93116,99883,46.1,6.4,83197957,44871,17925,8204,384889,159354,162,204,247,152,278,399,506,440,603,753,4178,603,0,603,734,487,17.7,1,75,25,0.75,27,8,0.77,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,92960,9157,775,83028,631436,88186,188713,34701,345925,106707,13201,145763
CA,5,2006,36021202,16821266,865423,4.90,20.79191,11.80281,3.63910,1866312,800.5,8.0,1499451517,3145759,1049315,449971,1999656,799469,584,723,862,152,278,399,506,847,1065,1270,223576,603,0,603,734,4427,12.2,0,48,32,0.60,25,15,0.63,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.75,1226697,360316,21273,845108,8056739,1347858,1777759,371994,2896191,748083,116362,982245
CO,6,2006,4720423,2541828,113728,4.30,18.12490,12.27022,4.21864,232381,111.2,8.9,191774579,452447,37391,14468,251385,107246,280,356,432,152,278,399,506,558,755,938,5131,603,25,628,752,466,9.7,1,39,26,0.60,20,15,0.57,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,56830,8648,528,47654,403607,86171,154425,31334,347945,59154,8140,86001
CT,7,2006,3517460,1745993,80824,4.40,19.79445,9.96977,3.01168,222953,28.9,3.3,184956227,68391,36841,18490,210288,111958,443,543,639,152,278,399,506,721,939,1114,8266,603,168,771,852,275,8.0,0,107,44,0.71,24,12,0.67,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,7.40,53276,6700,467,46109,443456,51443,114400,24716,307389,42975,4461,56198
DE,8,2006,859268,424618,15507,3.50,15.66190,10.24169,3.58862,55011,12.7,6.0,34671626,15732,12209,5504,65698,28211,270,338,407,152,278,399,506,548,737,913,2572,603,0,603,734,80,9.3,1,18,21,0.46,13,8,0.62,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.200,,,0,5.15,6.15,14038,1300,106,12632,147028,19900,34803,5622,83648,17187,1971,27651
DC,9,2006,570681,303791,18408,5.70,24.74388,13.73828,2.68475,89861,5.7,4.8,34628273,23313,38706,15717,89168,45469,320,407,498,152,278,399,506,598,806,1004,6793,603,0,603,734,104,18.3,,,,,,,,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.350,,,1,5.15,7.00,21713,1974,151,19588,143108,15193,33348,2492,45229,15401,1043,20042
FL,10,2006,18166990,8584095,296256,3.30,18.41590,11.37817,3.45776,747470,509.4,12.0,703287635,424484,86447,52470,1417749,673299,241,303,364,152,278,399,506,519,702,870,39466,603,0,603,734,2068,11.5,0,41,79,0.34,14,26,0.35,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.40,427902,100597,2770,324535,2232473,382763,829610,168851,1523315,409088,56474,590315
GA,11,2006,9155813,4500150,222164,4.70,23.34628,14.65574,3.89530,393840,209.9,8.2,315047516,121550,62584,31781,946812,386192,235,280,330,152,278,399,506,513,679,836,23747,603,0,603,734,1172,12.6,0,74,106,0.41,22,34,0.39,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,205793,26753,1974,177066,1317063,276053,629108,115705,1252790,352137,45920,501826
HI,12,2006,1309731,617807,15684,2.50,11.58727,6.99718,2.39660,61608,7.5,2.4,49607512,31427,17383,6953,87942,44883,452,570,687,229,421,602,765,873,1172,1452,2178,603,0,603,832,116,9.2,0,43,8,0.84,20,5,0.80,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,6.75,22924,6452,198,16274,191994,32075,39372,14356,112822,18148,4526,35883
ID,13,2006,1468669,718077,22028,3.00,20.72082,11.67048,2.58425,51632,28.6,6.7,47024599,143051,3054,1818,91106,36959,309,309,309,152,278,399,506,587,708,815,1423,603,32,635,757,141,9.5,0,19,51,0.27,7,28,0.20,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,23053,1825,206,21022,180011,37034,64635,21198,161257,35484,6913,56744
IL,14,2006,12643955,6225095,301473,4.60,17.27887,10.74399,3.55050,623078,180.2,5.3,508207549,100797,90101,36330,1225093,556293,292,396,435,152,278,399,506,570,795,941,18704,603,0,603,734,1338,10.6,1,66,52,0.56,37,22,0.63,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.050,,,1,5.15,6.50,261052,30448,2382,228222,1906660,276597,609103,87689,1104900,208724,16320,259216
IN,15,2006,6332669,3080047,161426,5.00,16.33439,9.95171,2.84864,257635,65.9,3.9,209530646,35532,119311,42533,574696,249498,230,288,347,152,278,399,506,508,687,853,18413,603,0,603,734,674,10.6,0,51,49,0.51,17,33,0.34,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.060,,,1,5.15,5.15,101058,5756,934,94368,831487,137374,262416,66665,723568,116646,16176,165901
IA,16,2006,2982644,1595136,61786,3.70,19.99764,11.57892,3.06068,128085,20.0,2.7,103071512,14420,40184,16675,225717,100753,361,426,495,152,278,399,506,639,825,1001,5273,603,0,603,734,301,10.3,1,54,46,0.54,30,20,0.60,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.065,,,0,5.15,5.15,43896,3568,769,39559,362563,66339,108992,32758,390385,45196,7576,78798
KS,17,2006,2762931,1403938,64464,4.40,23.90591,14.16518,4.15202,112464,34.5,4.7,99391548,20071,44966,17232,183071,81625,352,429,497,152,278,399,506,630,828,1003,4600,603,0,603,734,349,12.8,1,48,77,0.38,10,30,0.25,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.150,,,1,5.15,2.65,39501,3225,356,35920,274491,69584,118337,38025,336461,54751,11148,85289
KY,18,2006,4219239,1904467,119665,5.90,26.43298,15.31088,5.04076,152470,61.2,5.8,129388585,127698,69928,33092,589102,257605,225,262,328,152,278,399,506,503,661,834,17146,603,0,603,734,690,16.8,0,61,39,0.61,16,21,0.43,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,181857,13374,1381,167102,703025,125082,257107,49759,542971,152222,20287,223267
LA,19,2006,4302665,1900240,77823,3.90,24.50130,15.69534,6.20300,207963,90.7,8.0,142756204,43579,26749,11915,829882,333400,188,240,284,152,278,399,506,466,639,790,8300,603,0,603,734,713,17.0,1,63,41,0.61,24,15,0.62,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.000,,,0,5.15,5.15,157299,16794,1608,138897,1010977,122505,349994,40757,571269,175640,14111,220926
ME,20,2006,1323619,665856,32671,4.70,23.16590,12.77347,4.82697,48134,10.7,3.6,45139882,20020,24814,9304,160294,81557,363,485,611,152,278,399,506,641,884,1094,2486,603,10,613,741,134,10.2,1,89,60,0.60,18,17,0.51,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.050,,,0,5.15,6.75,32536,2356,223,29957,275409,23661,42038,10280,109152,18945,2905,31192
MD,21,2006,5627367,2892733,114531,3.80,16.71186,9.78579,4.42553,278616,73.6,5.1,261066893,436918,46879,20364,305395,140394,386,490,592,152,278,399,506,664,889,1081,8572,603,0,603,734,469,8.4,1,106,35,0.75,33,14,0.70,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.200,,,1,5.15,5.15,96248,15294,647,80307,692659,115165,175719,45946,444058,78787,15010,129798
MA,22,2006,6410084,3255504,162495,4.80,14.56555,7.09877,2.52247,361077,35.9,2.3,307636259,108439,93379,46582,431518,227263,531,633,731,152,278,399,506,809,1002,1178,16764,603,129,732,825,758,12.0,1,141,19,0.88,35,5,0.88,0.0765,0.3400,0.4000,412,2747,4536,0.0765,0.1598,0.2106,0.150,,,1,5.15,6.75,174509,44807,3729,125973,1045427,115959,203260,36024,559612,95588,8698,126351
